Designator,Footprint,Quantity,Value,LCSC Part #
A1,BNO055_IMU,1,BNO055,
"C1, C12",C0805_10681391,2,10uF,
"C10, C71",C0805_10681391,2,10nF,
"C11, C41, C42, C51, C53, C54, C55, C56, C61, C62, C9",C0805_10681391,11,100nF,
C2,C0805_10681391,1,44uF,
"C31, C63",1206,2,220uF,
C5,C0805_10681391,1,4.7uF,
C6,C0805_10681391,1,1uF,
C8,C0805_10681391,1,47nF,
"D2, D3, D4",0805,3,LED,
EXT_PINS0,2X05_EXT_PINS,1,PINHD-2X5,
IC1,TQFP100_atmega2560,1,ATMEGAAU,
IC2,rpi_zero_w,1,RPI-ZERO,
"J1, J2",HARWIN_M20-9980346,2,Conn_02x03_Counter_Clockwise,
J3,PinHeader_1x05_P2.54mm_Horizontal,1,Conn_01x05,
J5,MICRO-USB-SMD_5P-P0.65-H-F_MICRO5.9MMUSB,1,USB_B_Mini,
J6,PinSocket_1x03_P2.54mm_Horizontal,1,Conn_01x03_Socket,
L2,L_7.3x7.3_H3.5,1,1uH,
P1,SOT223_ncp1117,1,NCP1117,
"Q11, Q12, Q13, Q14",SOT23_NMOS,4,BSS123,
Q3,SOT-23-6,1,DMG9926UDM,
"QG1, QG2",SM77H_crystal_oscillator,2,XO91,
R/W0,1X02_90_rpi,1,PINHD-1X2/90,
"R1, R2, R23, R24, R26, R27, R30, R31, R3O1, R5, R6",0603,11,1K,
"R10, R15, R16, R17, R18, R25, R28, R9",0603,8,330,
"R11, R12, R13, R14",0603,4,180,
R19,0603,1,383,
R20,0603,1,2.2K,
R21,0603,1,20k,
R22,0603,1,300,
R29,0603,1,5.23K,
"R3, R4, R7",0603,3,10k,
R8,0603,1,47k,
SW1,Dip_switch_1,1,SW_DIP_x01,
SW2,SW_Slide-03_Wuerth-WS-SLTV_10x2.5x6.4_P2.54mm,1,SW_DPDT_x2,
U2,QFN50P400X400X100-25N,1,BQ25887RGET,
U3,TXB0104PWR,1,TXB0104PWR,
U7,SOIC-16_3.9x9.9mm_P1.27mm,1,CH340G,
U8,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,1,R5460N,C12044
USB1,USB-C-SMD_10P-P1.00-L6.8-W8.9,1,TYPE-C-31-M-17,C283540
